nation_id,first_name,last_name,position,kit_number,date_of_birth
3,Matěj,Kovář,GK,1,2000-05-17
3,David,Zima,DF,2,2000-11-08
3,Tomáš,Holeš,DF,3,1993-03-31
3,Robin,Hranáč,DF,4,2000-01-29
3,Vladimír,Coufal,DF,5,1992-08-22
3,Štěpán,Chaloupek,DF,6,2003-03-08
3,Ladislav,Krejčí,DF,7,1999-04-20
3,Vladimír,Darida,MF,8,1990-08-08
3,Adam,Hložek,FW,9,2002-07-25
3,Patrik,Schick,FW,10,1996-01-24
3,Jan,Kuchta,FW,11,1997-01-08
3,Lukáš,Červ,MF,12,2001-04-10
3,Mojmír,Chytil,FW,13,1999-04-29
3,David,Jurásek,DF,14,2000-08-07
3,Pavel,Šulc,FW,15,2000-12-29
3,Jindřich,Staněk,GK,16,1996-04-27
3,Lukáš,Provod,MF,17,1996-10-23
3,Michal,Sadílek,MF,18,1999-05-31
3,Tomáš,Chorý,FW,19,1995-01-26
3,Jaroslav,Zelený,DF,20,1992-08-20
3,David,Douděra,DF,21,1998-05-31
3,Tomáš,Souček,MF,22,1995-02-27
3,Lukáš,Horníček,GK,23,2002-07-13
3,Alexandr,Sojka,MF,24,2003-04-02
3,Hugo,Sochůrek,MF,25,2008-06-07
3,Denis,Višinský,FW,26,2003-03-21
1,Raúl,Rangel,GK,1,2000-02-25
1,Jorge,Sánchez,DF,2,1997-12-10
1,César,Montes,DF,3,1997-02-24
1,Edson,Álvarez,DF,4,1997-10-24
1,Johan,Vásquez,DF,5,1998-10-22
1,Érik,Lira,MF,6,2000-05-08
1,Luis,Romo,MF,7,1995-06-05
1,Álvaro,Fidalgo,MF,8,1997-04-09
1,Raúl,Jiménez,FW,9,1991-05-05
1,Alexis,Vega,FW,10,1997-11-25
1,Santiago,Giménez,FW,11,2001-04-18
1,Carlos,Acevedo,GK,12,1996-04-19
1,Guillermo,Ochoa,GK,13,1985-07-13
1,Armando,González,FW,14,2003-04-20
1,Israel,Reyes,DF,15,2000-05-23
1,Julián,Quiñones,FW,16,1997-03-24
1,Orbelín,Pineda,MF,17,1996-03-24
1,Obed,Vargas,MF,18,2005-08-05
1,Gilberto,Mora,MF,19,2008-10-14
1,Mateo,Chávez,DF,20,2004-05-12
1,César,Huerta,FW,21,2000-12-03
1,Guillermo,Martínez,FW,22,1995-03-15
1,Jesús,Gallardo,DF,23,1994-08-15
1,Luis,Chávez,MF,24,1996-01-15
1,Roberto,Alvarado,FW,25,1998-09-07
1,Brian,Gutiérrez,MF,26,2003-06-17
4,Ronwen,Williams,GK,1,1992-01-21
4,Thabang,Matuludi,DF,2,1999-01-14
4,Khulumani,Ndamane,DF,3,2004-02-05
4,Teboho,Mokoena,MF,4,1997-01-24
4,Thalente,Mbatha,MF,5,2000-03-06
4,Aubrey,Modiba,DF,6,1995-07-22
4,Oswin,Appollis,FW,7,2001-08-25
4,Tshepang,Moremi,FW,8,2000-10-02
4,Lyle,Foster,FW,9,2000-09-03
4,Relebohile,Mofokeng,FW,10,2004-10-23
4,Themba,Zwane,MF,11,1989-08-03
4,Thapelo,Maseko,FW,12,2003-11-11
4,Sphephelo,Sithole,MF,13,1999-03-03
4,Mbekezeli,Mbokazi,DF,14,2005-09-19
4,Iqraam,Rayners,FW,15,1995-12-19
4,Sipho,Chaine,GK,16,1996-12-14
4,Evidence,Makgopa,FW,17,2000-06-05
4,Samukele,Kabini,DF,18,2004-03-15
4,Nkosinathi,Sibisi,DF,19,1995-09-22
4,Khuliso,Mudau,DF,20,1995-04-26
4,Ime,Okon,DF,21,2004-02-20
4,Ricardo,Goss,GK,22,1994-04-02
4,Jayden,Adams,MF,23,2001-05-05
4,Olwethu,Makhanya,DF,24,2004-04-30
4,Kamogelo,Sebelebele,FW,25,2002-07-21
4,Bradley,Cross,DF,26,2001-01-30
2,Kim,Seung-gyu,GK,1,1990-09-30
2,Lee,Han-beom,DF,2,2002-06-17
2,Lee,Gi-hyuk,MF,3,2000-07-07
2,Kim,Min-jae,DF,4,1996-11-15
2,Kim,Tae-hyeon,DF,5,2000-09-17
2,Hwang,In-beom,MF,6,1996-09-20
2,Son,Heung-min,FW,7,1992-07-08
2,Paik,Seung-ho,MF,8,1997-03-17
2,Cho,Gue-sung,FW,9,1998-01-25
2,Lee,Jae-sung,MF,10,1992-08-10
2,Hwang,Hee-chan,MF,11,1996-01-26
2,Song,Bum-keun,GK,12,1997-10-15
2,Lee,Tae-seok,DF,13,2002-07-28
2,Cho,Wi-je,DF,14,2001-08-25
2,Kim,Moon-hwan,DF,15,1995-08-01
2,Park,Jin-seob,DF,16,1995-10-23
2,Bae,Jun-ho,MF,17,2003-08-21
2,Oh,Hyeon-gyu,FW,18,2001-04-12
2,Lee,Kang-in,MF,19,2001-02-19
2,Yang,Hyun-jun,MF,20,2002-05-25
2,Jo,Hyeon-woo,GK,21,1991-09-25
2,Seol,Young-woo,DF,22,1998-12-05
2,Jens,Castrop,DF,23,2003-07-29
2,Kim,Jin-gyu,MF,24,1997-02-24
2,Eom,Ji-sung,MF,25,2002-05-09
2,Lee,Dong-gyeong,MF,26,1997-09-20
7,Nikola,Vasilj,GK,1,1995-12-02
7,Nihad,Mujakić,DF,2,1998-04-15
7,Dennis,Hadžikadunić,DF,3,1998-07-09
7,Tarik,Muharemović,DF,4,2003-02-28
7,Sead,Kolašinac,DF,5,1993-06-20
7,Benjamin,Tahirović,MF,6,2003-03-03
7,Amar,Dedić,DF,7,2002-08-18
7,Armin,Gigović,MF,8,2002-04-06
7,Samed,Baždar,FW,9,2004-01-31
7,Ermedin,Demirović,FW,10,1998-03-25
7,Edin,Džeko,FW,11,1986-03-17
7,Mladen,Jurkas,GK,12,2007-10-07
7,Ivan,Bašić,MF,13,2002-04-30
7,Ivan,Šunjić,MF,14,1996-10-09
7,Amar,Memić,MF,15,2001-01-20
7,Amir,Hadžiahmetović,MF,16,1997-03-08
7,Dženis,Burnić,MF,17,1998-05-22
7,Nikola,Katić,DF,18,1996-10-10
7,Kerim,Alajbegović,FW,19,2007-09-21
7,Esmir,Bajraktarević,FW,20,2005-03-10
7,Stjepan,Radeljić,DF,21,1997-09-05
7,Martin,Zlomislić,GK,22,1998-08-16
