stadium_id,home_id,away_id,game_date,tournament_stage,home_score,away_score,attendance
13,1,4,2026-06-11,Group Stage,2,0,80824
12,2,3,2026-06-11,Group Stage,2,1,44985
15,5,7,2026-06-12,Group Stage,1,1,43002
6,13,15,2026-06-12,Group Stage,4,1,70492
10,8,6,2026-06-13,Group Stage,1,1,67966
8,9,10,2026-06-13,Group Stage,1,1,80633
2,12,11,2026-06-13,Group Stage,0,1,64146
16,14,16,2026-06-13,Group Stage,2,0,52497
4,17,20,2026-06-14,Group Stage,7,1,68021
3,21,23,2026-06-14,Group Stage,2,2,69285
9,18,19,2026-06-14,Group Stage,1,0,68274
14,22,24,2026-06-14,Group Stage,5,1,50987
1,31,32,2026-06-15,Group Stage,0,0,67640
11,27,28,2026-06-15,Group Stage,1,1,66775
7,30,29,2026-06-15,Group Stage,1,1,62764
6,26,25,2026-06-15,Group Stage,2,2,70108
8,34,35,2026-06-16,Group Stage,3,1,68324
2,36,33,2026-06-16,Group Stage,1,4,63106
5,37,40,2026-06-16,Group Stage,3,0,69045
10,38,39,2026-06-16,Group Stage,3,1,68527
4,43,42,2026-06-17,Group Stage,1,1,68777
3,45,48,2026-06-17,Group Stage,4,2,70389
15,46,47,2026-06-17,Group Stage,1,0,42942
13,44,41,2026-06-17,Group Stage,1,3,80824
1,3,4,2026-06-18,Group Stage,1,1,67442
6,6,7,2026-06-18,Group Stage,4,1,70026
16,5,8,2026-06-18,Group Stage,6,0,52497
12,1,2,2026-06-18,Group Stage,1,0,45522
11,13,14,2026-06-19,Group Stage,2,0,66925
2,11,10,2026-06-19,Group Stage,0,1,64146
9,9,12,2026-06-19,Group Stage,3,0,68324
10,16,15,2026-06-19,Group Stage,0,1,68827
4,21,22,2026-06-20,Group Stage,5,1,68777
15,17,18,2026-06-20,Group Stage,2,1,43036
5,19,20,2026-06-20,Group Stage,0,0,68598
14,24,23,2026-06-20,Group Stage,0,4,51243
1,31,30,2026-06-21,Group Stage,4,0,67640
6,27,26,2026-06-21,Group Stage,0,0,70317
5,29,32,2026-06-21,Group Stage,2,2,64003
16,25,28,2026-06-21,Group Stage,1,3,52497
3,37,38,2026-06-22,Group Stage,2,0,70649
5,34,36,2026-06-22,Group Stage,3,0,68324
8,33,35,2026-06-22,Group Stage,3,2,80663
10,39,40,2026-06-22,Group Stage,1,2,68371
4,43,44,2026-06-23,Group Stage,5,0,68777
2,45,46,2026-06-23,Group Stage,0,0,63983
15,47,48,2026-06-23,Group Stage,0,1,43036
12,41,42,2026-06-23,Group Stage,1,0,45358
16,6,5,2026-06-24,Group Stage,2,1,52497
11,7,8,2026-06-24,Group Stage,3,1,66925
1,10,12,2026-06-24,Group Stage,4,2,68239
7,11,9,2026-06-24,Group Stage,0,3,64478
14,4,2,2026-06-24,Group Stage,,,
13,3,1,2026-06-24,Group Stage,,,
9,20,18,2026-06-25,Group Stage,,,
8,19,17,2026-06-25,Group Stage,,,
5,24,21,2026-06-25,Group Stage,,,
3,23,22,2026-06-25,Group Stage,,,
6,16,13,2026-06-25,Group Stage,,,
10,15,14,2026-06-25,Group Stage,,,
2,33,34,2026-06-26,Group Stage,,,
15,35,36,2026-06-26,Group Stage,,,
4,32,30,2026-06-26,Group Stage,,,
12,29,31,2026-06-26,Group Stage,,,
16,25,27,2026-06-26,Group Stage,,,
11,28,26,2026-06-26,Group Stage,,,
8,47,45,2026-06-27,Group Stage,,,
9,48,46,2026-06-27,Group Stage,,,
7,41,43,2026-06-27,Group Stage,,,
1,42,44,2026-06-27,Group Stage,,,
5,40,38,2026-06-27,Group Stage,,,
3,39,37,2026-06-27,Group Stage,,,
